cn507
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000018/000001040 L30_T18SUH_20130921T154211
000000038/000001040 L30_T18SUH_20140510T154603
000000058/000001040 L30_T18SUH_20141111T154030
000000078/000001040 L30_T18SUH_20150529T154531
000000098/000001040 L30_T18SUH_20151114T154022
000000118/000001040 L30_T18SUH_20160616T154608
000000138/000001040 L30_T18SUH_20161202T154035
000000158/000001040 L30_T18SUH_20170612T153957
000000178/000001040 L30_T18SUH_20171126T154637
000000198/000001040 L30_T18SUH_20180615T153909
000000218/000001040 L30_T18SUH_20190125T154003
000000238/000001040 L30_T18SUH_20190720T154014
000000258/000001040 L30_T18SUH_20200307T154622
000000278/000001040 L30_T18SUH_20200830T154635
000000298/000001040 L30_T18SUH_20210420T153955
000000318/000001040 L30_T18SUH_20211020T154652
000000338/000001040 L30_T18SUH_20220218T154018
000000358/000001040 L30_T18SUH_20220601T154627
000000378/000001040 L30_T18SUH_20220820T154659
000000398/000001040 L30_T18SUH_20221124T154700
000000418/000001040 L30_T18SUH_20230308T154636
000000438/000001040 L30_T18SUH_20230620T154555
000000458/000001040 L30_T18SUH_20230917T154020
000000478/000001040 L30_T18SUH_20231221T154647
000000498/000001040 L30_T18SUH_20240521T154532
000000518/000001040 L30_T18SUH_20241029T154024
000000538/000001040 L30_T18SUJ_20130827T154805
000000558/000001040 L30_T18SUJ_20140417T153947
000000578/000001040 L30_T18SUJ_20141017T154617
000000598/000001040 L30_T18SUJ_20150506T153859
000000618/000001040 L30_T18SUJ_20151020T154606
000000638/000001040 L30_T18SUJ_20160524T153929
000000658/000001040 L30_T18SUJ_20161107T154623
000000678/000001040 L30_T18SUJ_20170518T154531
000000698/000001040 L30_T18SUJ_20171103T154009
000000718/000001040 L30_T18SUJ_20180521T154459
000000738/000001040 L30_T18SUJ_20181224T153945
000000758/000001040 L30_T18SUJ_20190625T154555
000000778/000001040 L30_T18SUJ_20200112T154003
000000798/000001040 L30_T18SUJ_20200807T153950
000000818/000001040 L30_T18SUJ_20210326T154551
000000838/000001040 L30_T18SUJ_20210918T154620
000000858/000001040 L30_T18SUJ_20220209T154609
000000878/000001040 L30_T18SUJ_20220516T154559
000000898/000001040 L30_T18SUJ_20220805T153959
000000918/000001040 L30_T18SUJ_20221109T154019
000000938/000001040 L30_T18SUJ_20230221T154000
000000958/000001040 L30_T18SUJ_20230528T153911
000000978/000001040 L30_T18SUJ_20230908T154602
000000998/000001040 L30_T18SUJ_20231206T153957
000001018/000001040 L30_T18SUJ_20240529T154524
000001038/000001040 L30_T18SUJ_20241129T154638
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000018/000000597 S30_T18SUH_20160610T155412
000000038/000000597 S30_T18SUH_20161110T160502
000000058/000000597 S30_T18SUH_20170519T161221
000000078/000000597 S30_T18SUH_20171001T161159
000000098/000000597 S30_T18SUH_20180119T160559
000000118/000000597 S30_T18SUH_20191125T160611
000000138/000000597 S30_T18SUH_20210520T154809
000000158/000000597 S30_T18SUH_20230629T154819
000000178/000000597 S30_T18SUH_20230912T154841
000000198/000000597 S30_T18SUH_20231129T160619
000000218/000000597 S30_T18SUH_20240204T155449
000000238/000000597 S30_T18SUH_20240414T154809
000000258/000000597 S30_T18SUH_20240623T154819
000000278/000000597 S30_T18SUH_20240815T155819
000000298/000000597 S30_T18SUJ_20160125T161212
000000318/000000597 S30_T18SUJ_20160809T154912
000000338/000000597 S30_T18SUJ_20161230T160652
000000358/000000597 S30_T18SUJ_20170715T154911
000000378/000000597 S30_T18SUJ_20171021T161159
000000398/000000597 S30_T18SUJ_20180208T160419
000000418/000000597 S30_T18SUJ_20191023T155321
000000438/000000597 S30_T18SUJ_20210709T154819
000000458/000000597 S30_T18SUJ_20230627T155821
000000478/000000597 S30_T18SUJ_20230907T154819
000000498/000000597 S30_T18SUJ_20231111T155501
000000518/000000597 S30_T18SUJ_20240108T160639
000000538/000000597 S30_T18SUJ_20240330T154821
000000558/000000597 S30_T18SUJ_20240616T155819
000000578/000000597 S30_T18SUJ_20240807T154941
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
