cn509
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000001/000001040 L30_T18SUH_20130414T154205
000000021/000001040 L30_T18SUH_20131030T154810
000000041/000001040 L30_T18SUH_20140604T153954
000000061/000001040 L30_T18SUH_20141204T154637
000000081/000001040 L30_T18SUH_20150623T153935
000000101/000001040 L30_T18SUH_20151207T154634
000000121/000001040 L30_T18SUH_20160711T154011
000000141/000001040 L30_T18SUH_20161225T154641
000000161/000001040 L30_T18SUH_20170705T154614
000000181/000001040 L30_T18SUH_20171228T154637
000000201/000001040 L30_T18SUH_20180717T153927
000000221/000001040 L30_T18SUH_20190226T153957
000000241/000001040 L30_T18SUH_20190812T154634
000000261/000001040 L30_T18SUH_20200408T154605
000000281/000001040 L30_T18SUH_20201001T154645
000000301/000001040 L30_T18SUH_20210513T154601
000000321/000001040 L30_T18SUH_20211114T154108
000000341/000001040 L30_T18SUH_20220305T154628
000000361/000001040 L30_T18SUH_20220610T154023
000000381/000001040 L30_T18SUH_20220829T154048
000000401/000001040 L30_T18SUH_20221218T154652
000000421/000001040 L30_T18SUH_20230401T154613
000000441/000001040 L30_T18SUH_20230707T153949
000000461/000001040 L30_T18SUH_20231010T154636
000000481/000001040 L30_T18SUH_20231230T154034
000000501/000001040 L30_T18SUH_20240530T153918
000000521/000001040 L30_T18SUH_20241129T154638
000000541/000001040 L30_T18SUJ_20130921T154147
000000561/000001040 L30_T18SUJ_20140510T154539
000000581/000001040 L30_T18SUJ_20141111T154006
000000601/000001040 L30_T18SUJ_20150529T154507
000000621/000001040 L30_T18SUJ_20151114T153958
000000641/000001040 L30_T18SUJ_20160616T154608
000000661/000001040 L30_T18SUJ_20161202T154011
000000681/000001040 L30_T18SUJ_20170612T153933
000000701/000001040 L30_T18SUJ_20171126T154613
000000721/000001040 L30_T18SUJ_20180615T153846
000000741/000001040 L30_T18SUJ_20190125T153939
000000761/000001040 L30_T18SUJ_20190720T153950
000000781/000001040 L30_T18SUJ_20200307T154558
000000801/000001040 L30_T18SUJ_20200830T154611
000000821/000001040 L30_T18SUJ_20210420T153931
000000841/000001040 L30_T18SUJ_20211020T154629
000000861/000001040 L30_T18SUJ_20220218T153954
000000881/000001040 L30_T18SUJ_20220601T154603
000000901/000001040 L30_T18SUJ_20220820T154635
000000921/000001040 L30_T18SUJ_20221124T154636
000000941/000001040 L30_T18SUJ_20230308T154612
000000961/000001040 L30_T18SUJ_20230620T154531
000000981/000001040 L30_T18SUJ_20230917T153956
000001001/000001040 L30_T18SUJ_20231221T154623
000001021/000001040 L30_T18SUJ_20240607T153913
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000021/000000597 S30_T18SUH_20160630T155412
000000041/000000597 S30_T18SUH_20161127T155612
000000061/000000597 S30_T18SUH_20170615T160131
000000081/000000597 S30_T18SUH_20171018T155239
000000101/000000597 S30_T18SUH_20180208T160419
000000121/000000597 S30_T18SUH_20200119T160559
000000141/000000597 S30_T18SUH_20230304T160149
000000161/000000597 S30_T18SUH_20230709T154819
000000181/000000597 S30_T18SUH_20230930T155959
000000201/000000597 S30_T18SUH_20231209T160649
000000221/000000597 S30_T18SUH_20240214T155249
000000241/000000597 S30_T18SUH_20240424T154809
000000261/000000597 S30_T18SUH_20240701T160031
000000281/000000597 S30_T18SUH_20240822T154809
000000301/000000597 S30_T18SUJ_20160325T161202
000000321/000000597 S30_T18SUJ_20160829T154902
000000341/000000597 S30_T18SUJ_20170215T155401
000000361/000000597 S30_T18SUJ_20170725T160131
000000381/000000597 S30_T18SUJ_20171031T160359
000000401/000000597 S30_T18SUJ_20180310T160039
000000421/000000597 S30_T18SUJ_20200129T160509
000000441/000000597 S30_T18SUJ_20211119T160549
000000461/000000597 S30_T18SUJ_20230704T154941
000000481/000000597 S30_T18SUJ_20230922T154951
000000501/000000597 S30_T18SUJ_20231119T160549
000000521/000000597 S30_T18SUJ_20240120T155551
000000541/000000597 S30_T18SUJ_20240409T154811
000000561/000000597 S30_T18SUJ_20240623T154819
000000581/000000597 S30_T18SUJ_20240815T155819
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000001/000000492 L30_T19TEK_20130425T152153
000000021/000000492 L30_T19TEK_20140919T152015
000000041/000000492 L30_T19TEK_20160112T152012
000000061/000000492 L30_T19TEK_20170607T151947
000000081/000000492 L30_T19TEK_20180626T151908
000000101/000000492 L30_T19TEK_20190901T152020
000000121/000000492 L30_T19TEK_20200919T152024
000000141/000000492 L30_T19TEK_20211106T151552
000000161/000000492 L30_T19TEK_20220715T151956
000000181/000000492 L30_T19TEK_20230115T152026
000000201/000000492 L30_T19TEK_20230827T152008
000000221/000000492 L30_T19TEK_20240501T151944
000000241/000000492 L30_T19TEL_20130831T152146
000000261/000000492 L30_T19TEL_20141005T152019
000000281/000000492 L30_T19TEL_20151109T151950
000000301/000000492 L30_T19TEL_20170215T151940
000000321/000000492 L30_T19TEL_20180423T151858
000000341/000000492 L30_T19TEL_20190325T151918
000000361/000000492 L30_T19TEL_20200327T151952
000000381/000000492 L30_T19TEL_20210415T151925
000000401/000000492 L30_T19TEL_20220128T151952
000000421/000000492 L30_T19TEL_20220901T151958
000000441/000000492 L30_T19TEL_20230320T151937
000000461/000000492 L30_T19TEL_20231006T151951
000000481/000000492 L30_T19TEL_20240626T151900
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000001/000000505 S30_T19TEK_20151224T152642
000000021/000000505 S30_T19TEK_20170130T153551
000000041/000000505 S30_T19TEK_20170909T152619
000000061/000000505 S30_T19TEK_20180214T153551
000000081/000000505 S30_T19TEK_20191126T153601
000000101/000000505 S30_T19TEK_20200625T152629
000000121/000000505 S30_T19TEK_20230514T153559
000000141/000000505 S30_T19TEK_20230725T152631
000000161/000000505 S30_T19TEK_20231008T152629
000000181/000000505 S30_T19TEK_20240106T152629
000000201/000000505 S30_T19TEK_20240324T153601
000000221/000000505 S30_T19TEK_20240530T152631
000000241/000000505 S30_T19TEK_20240808T152631
000000261/000000505 S30_T19TEL_20160106T153632
000000281/000000505 S30_T19TEL_20170110T153611
000000301/000000505 S30_T19TEL_20170927T153551
000000321/000000505 S30_T19TEL_20180410T153559
000000341/000000505 S30_T19TEL_20200117T152619
000000361/000000505 S30_T19TEL_20200720T152631
000000381/000000505 S30_T19TEL_20230529T153601
000000401/000000505 S30_T19TEL_20230827T153601
000000421/000000505 S30_T19TEL_20231125T153551
000000441/000000505 S30_T19TEL_20240215T152629
000000461/000000505 S30_T19TEL_20240505T152629
000000481/000000505 S30_T19TEL_20240714T152629
000000501/000000505 S30_T19TEL_20240920T153601
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000001/000000614 L30_T11SNC_20130420T182244
000000021/000000614 L30_T11SNC_20140407T182105
000000041/000000614 L30_T11SNC_20150309T182037
000000061/000000614 L30_T11SNC_20160224T182051
000000081/000000614 L30_T11SNC_20170226T182049
000000101/000000614 L30_T11SNC_20180112T182101
000000121/000000614 L30_T11SNC_20181214T182049
000000141/000000614 L30_T11SNC_20191030T182121
000000161/000000614 L30_T11SNC_20200930T182116
000000181/000000614 L30_T11SNC_20210901T182111
000000201/000000614 L30_T11SNC_20220312T182055
000000221/000000614 L30_T11SNC_20220819T182129
000000241/000000614 L30_T11SNC_20230219T182119
000000261/000000614 L30_T11SNC_20230814T182043
000000281/000000614 L30_T11SNC_20240121T182111
000000301/000000614 L30_T11SNC_20240816T182034
000000321/000000614 L30_T11SPC_20131216T182228
000000341/000000614 L30_T11SPC_20141117T182109
000000361/000000614 L30_T11SPC_20151003T182058
000000381/000000614 L30_T11SPC_20161005T182114
000000401/000000614 L30_T11SPC_20170922T182108
000000421/000000614 L30_T11SPC_20180808T182019
000000441/000000614 L30_T11SPC_20190710T182053
000000461/000000614 L30_T11SPC_20200610T182033
000000481/000000614 L30_T11SPC_20210512T182030
000000501/000000614 L30_T11SPC_20220107T182112
000000521/000000614 L30_T11SPC_20220616T182108
000000541/000000614 L30_T11SPC_20221201T182121
000000561/000000614 L30_T11SPC_20230603T182017
000000581/000000614 L30_T11SPC_20231118T182110
000000601/000000614 L30_T11SPC_20240528T182018
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000001/000000723 S30_T11SNC_20151211T184332
000000021/000000723 S30_T11SNC_20160618T182922
000000041/000000723 S30_T11SNC_20161016T183342
000000061/000000723 S30_T11SNC_20170312T182131
000000081/000000723 S30_T11SNC_20170718T182919
000000101/000000723 S30_T11SNC_20171013T183259
000000121/000000723 S30_T11SNC_20180114T183719
000000141/000000723 S30_T11SNC_20180613T182919
000000161/000000723 S30_T11SNC_20200114T183719
000000181/000000723 S30_T11SNC_20210120T182701
000000201/000000723 S30_T11SNC_20230602T182921
000000221/000000723 S30_T11SNC_20230722T182921
000000241/000000723 S30_T11SNC_20231005T183129
000000261/000000723 S30_T11SNC_20231209T183751
000000281/000000723 S30_T11SNC_20240202T183559
000000301/000000723 S30_T11SNC_20240412T182919
000000321/000000723 S30_T11SNC_20240611T182919
000000341/000000723 S30_T11SNC_20240805T184101
000000361/000000723 S30_T11SNC_20241004T183221
000000381/000000723 S30_T11SPC_20160529T182922
000000401/000000723 S30_T11SPC_20161003T182212
000000421/000000723 S30_T11SPC_20170223T184321
000000441/000000723 S30_T11SPC_20170718T182919
000000461/000000723 S30_T11SPC_20171011T183311
000000481/000000723 S30_T11SPC_20180106T182731
000000501/000000723 S30_T11SPC_20180827T182921
000000521/000000723 S30_T11SPC_20200301T182259
000000541/000000723 S30_T11SPC_20201206T182739
000000561/000000723 S30_T11SPC_20230609T181921
000000581/000000723 S30_T11SPC_20230729T181921
000000601/000000723 S30_T11SPC_20231012T182309
000000621/000000723 S30_T11SPC_20231214T183759
000000641/000000723 S30_T11SPC_20240207T183531
000000661/000000723 S30_T11SPC_20240409T181919
000000681/000000723 S30_T11SPC_20240606T182921
000000701/000000723 S30_T11SPC_20240731T182919
000000721/000000723 S30_T11SPC_20240924T183111
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000001/000000320 L30_T13SCS_20130419T174105
000000021/000000320 L30_T13SCS_20140305T173951
000000041/000000320 L30_T13SCS_20150119T173916
000000061/000000320 L30_T13SCS_20151205T173925
000000081/000000320 L30_T13SCS_20161020T173938
000000101/000000320 L30_T13SCS_20170921T173927
000000121/000000320 L30_T13SCS_20180807T173839
000000141/000000320 L30_T13SCS_20190623T173909
000000161/000000320 L30_T13SCS_20200508T173840
000000181/000000320 L30_T13SCS_20210324T173905
000000201/000000320 L30_T13SCS_20211221T173936
000000221/000000320 L30_T13SCS_20220530T173915
000000241/000000320 L30_T13SCS_20221114T173945
000000261/000000320 L30_T13SCS_20230423T173907
000000281/000000320 L30_T13SCS_20231008T173926
000000301/000000320 L30_T13SCS_20240324T173923
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000001/000000337 S30_T13SCS_20151209T175732
000000021/000000337 S30_T13SCS_20160921T174022
000000041/000000337 S30_T13SCS_20170221T175331
000000061/000000337 S30_T13SCS_20170825T174909
000000081/000000337 S30_T13SCS_20180112T175709
000000101/000000337 S30_T13SCS_20190305T174219
000000121/000000337 S30_T13SCS_20200304T174211
000000141/000000337 S30_T13SCS_20210319T174031
000000161/000000337 S30_T13SCS_20230607T173911
000000181/000000337 S30_T13SCS_20230727T173911
000000201/000000337 S30_T13SCS_20230930T174039
000000221/000000337 S30_T13SCS_20231202T175719
000000241/000000337 S30_T13SCS_20240128T174609
000000261/000000337 S30_T13SCS_20240318T173949
000000281/000000337 S30_T13SCS_20240510T174909
000000301/000000337 S30_T13SCS_20240701T174051
000000321/000000337 S30_T13SCS_20240823T174901
Finished!
