cn507
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000000/000000052 L30_T18SUH_20130516T154215
000000001/000000052 L30_T18SUH_20131124T154152
000000002/000000052 L30_T18SUH_20140627T154610
000000003/000000052 L30_T18SUH_20150105T154629
000000004/000000052 L30_T18SUH_20150716T154600
000000005/000000052 L30_T18SUH_20160124T154631
000000006/000000052 L30_T18SUH_20160803T154628
000000007/000000052 L30_T18SUH_20170126T154632
000000008/000000052 L30_T18SUH_20170730T154013
000000009/000000052 L30_T18SUH_20180122T154015
000000010/000000052 L30_T18SUH_20180818T153943
000000011/000000052 L30_T18SUH_20190330T153949
000000012/000000052 L30_T18SUH_20190922T154035
000000013/000000052 L30_T18SUH_20200510T154550
000000014/000000052 L30_T18SUH_20201118T154645
000000015/000000052 L30_T18SUH_20210614T154617
000000016/000000052 L30_T18SUH_20211124T154603
000000017/000000052 L30_T18SUH_20220321T154626
000000018/000000052 L30_T18SUH_20220625T154620
000000019/000000052 L30_T18SUH_20220914T154053
000000020/000000052 L30_T18SUH_20221227T154041
000000021/000000052 L30_T18SUH_20230410T153950
000000022/000000052 L30_T18SUH_20230722T154610
000000023/000000052 L30_T18SUH_20231019T154024
000000024/000000052 L30_T18SUH_20240122T154640
000000025/000000052 L30_T18SUH_20240622T154541
000000026/000000052 L30_T18SUJ_20130414T154141
000000027/000000052 L30_T18SUJ_20131030T154746
000000028/000000052 L30_T18SUJ_20140604T153930
000000029/000000052 L30_T18SUJ_20141204T154613
000000030/000000052 L30_T18SUJ_20150623T153911
000000031/000000052 L30_T18SUJ_20151207T154610
000000032/000000052 L30_T18SUJ_20160711T153948
000000033/000000052 L30_T18SUJ_20161225T154617
000000034/000000052 L30_T18SUJ_20170705T154550
000000035/000000052 L30_T18SUJ_20171228T154613
000000036/000000052 L30_T18SUJ_20180717T153903
000000037/000000052 L30_T18SUJ_20190226T153934
000000038/000000052 L30_T18SUJ_20190812T154610
000000039/000000052 L30_T18SUJ_20200408T154541
000000040/000000052 L30_T18SUJ_20201001T154622
000000041/000000052 L30_T18SUJ_20210513T154537
000000042/000000052 L30_T18SUJ_20211114T154044
000000043/000000052 L30_T18SUJ_20220305T154604
000000044/000000052 L30_T18SUJ_20220610T153959
000000045/000000052 L30_T18SUJ_20220829T154024
000000046/000000052 L30_T18SUJ_20221218T154629
000000047/000000052 L30_T18SUJ_20230401T154549
000000048/000000052 L30_T18SUJ_20230707T153925
000000049/000000052 L30_T18SUJ_20231010T154612
000000050/000000052 L30_T18SUJ_20231230T154010
000000051/000000052 L30_T18SUJ_20240630T154512
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000000/000000030 S30_T18SUH_20160105T161212
000000001/000000030 S30_T18SUH_20160730T160132
000000002/000000030 S30_T18SUH_20161220T160652
000000003/000000030 S30_T18SUH_20170713T161219
000000004/000000030 S30_T18SUH_20171028T160119
000000005/000000030 S30_T18SUH_20180310T160039
000000006/000000030 S30_T18SUH_20200301T155151
000000007/000000030 S30_T18SUH_20230515T154811
000000008/000000030 S30_T18SUH_20230717T155911
000000009/000000030 S30_T18SUH_20231007T155039
000000010/000000030 S30_T18SUH_20231216T155649
000000011/000000030 S30_T18SUH_20240224T155139
000000012/000000030 S30_T18SUH_20240507T155819
000000013/000000030 S30_T18SUH_20240708T154941
000000014/000000030 S30_T18SUH_20240904T155819
000000015/000000030 S30_T18SUJ_20160414T155922
000000016/000000030 S30_T18SUJ_20160918T154922
000000017/000000030 S30_T18SUJ_20170317T154951
000000018/000000030 S30_T18SUJ_20170804T154911
000000019/000000030 S30_T18SUJ_20171112T155511
000000020/000000030 S30_T18SUJ_20180511T154911
000000021/000000030 S30_T18SUJ_20200223T160241
000000022/000000030 S30_T18SUJ_20230515T154811
000000023/000000030 S30_T18SUJ_20230714T154941
000000024/000000030 S30_T18SUJ_20231002T155101
000000025/000000030 S30_T18SUJ_20231129T160619
000000026/000000030 S30_T18SUJ_20240209T155411
000000027/000000030 S30_T18SUJ_20240422T155821
000000028/000000030 S30_T18SUJ_20240701T160031
000000029/000000030 S30_T18SUJ_20240822T154809
