cn507
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000000/000000052 L30_T18SUH_20130617T154213
000000001/000000052 L30_T18SUH_20131226T154142
000000002/000000052 L30_T18SUH_20140722T154008
000000003/000000052 L30_T18SUH_20150215T154004
000000004/000000052 L30_T18SUH_20150810T153956
000000005/000000052 L30_T18SUH_20160305T154009
000000006/000000052 L30_T18SUH_20160828T154026
000000007/000000052 L30_T18SUH_20170220T154010
000000008/000000052 L30_T18SUH_20170831T154022
000000009/000000052 L30_T18SUH_20180311T153952
000000010/000000052 L30_T18SUH_20180919T153954
000000011/000000052 L30_T18SUH_20190422T154551
000000012/000000052 L30_T18SUH_20191024T154040
000000013/000000052 L30_T18SUH_20200604T153948
000000014/000000052 L30_T18SUH_20201229T154033
000000015/000000052 L30_T18SUH_20210709T154010
000000016/000000052 L30_T18SUH_20211216T154036
000000017/000000052 L30_T18SUH_20220330T154013
000000018/000000052 L30_T18SUH_20220704T154007
000000019/000000052 L30_T18SUH_20220929T154648
000000020/000000052 L30_T18SUH_20230111T154648
000000021/000000052 L30_T18SUH_20230425T154615
000000022/000000052 L30_T18SUH_20230731T154006
000000023/000000052 L30_T18SUH_20231103T154634
000000024/000000052 L30_T18SUH_20240207T154645
000000025/000000052 L30_T18SUH_20240708T154549
000000026/000000052 L30_T18SUJ_20130516T154151
000000027/000000052 L30_T18SUJ_20131124T154128
000000028/000000052 L30_T18SUJ_20140627T154546
000000029/000000052 L30_T18SUJ_20150105T154606
000000030/000000052 L30_T18SUJ_20150716T154536
000000031/000000052 L30_T18SUJ_20160124T154607
000000032/000000052 L30_T18SUJ_20160803T154604
000000033/000000052 L30_T18SUJ_20170126T154608
000000034/000000052 L30_T18SUJ_20170730T153949
000000035/000000052 L30_T18SUJ_20180122T153951
000000036/000000052 L30_T18SUJ_20180818T153919
000000037/000000052 L30_T18SUJ_20190330T153925
000000038/000000052 L30_T18SUJ_20190922T154011
000000039/000000052 L30_T18SUJ_20200510T154526
000000040/000000052 L30_T18SUJ_20201118T154621
000000041/000000052 L30_T18SUJ_20210614T154553
000000042/000000052 L30_T18SUJ_20211124T154539
000000043/000000052 L30_T18SUJ_20220321T154602
000000044/000000052 L30_T18SUJ_20220625T154556
000000045/000000052 L30_T18SUJ_20220914T154030
000000046/000000052 L30_T18SUJ_20221227T154017
000000047/000000052 L30_T18SUJ_20230410T153926
000000048/000000052 L30_T18SUJ_20230722T154546
000000049/000000052 L30_T18SUJ_20231019T154000
000000050/000000052 L30_T18SUJ_20240123T153955
000000051/000000052 L30_T18SUJ_20240716T154530
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000004/000000030 S30_T18SUH_20171110T161159
000000005/000000030 S30_T18SUH_20180511T154911
000000006/000000030 S30_T18SUH_20200403T155901
000000007/000000030 S30_T18SUH_20230525T154941
000000008/000000030 S30_T18SUH_20230729T154819
000000009/000000030 S30_T18SUH_20231015T160231
000000010/000000030 S30_T18SUH_20231224T160701
000000011/000000030 S30_T18SUH_20240305T155029
000000012/000000030 S30_T18SUH_20240522T155901
000000013/000000030 S30_T18SUH_20240716T155819
000000014/000000030 S30_T18SUH_20240911T154809
000000015/000000030 S30_T18SUJ_20160514T155912
000000016/000000030 S30_T18SUJ_20161018T160122
000000017/000000030 S30_T18SUJ_20170516T154911
000000018/000000030 S30_T18SUJ_20170822T161209
000000019/000000030 S30_T18SUJ_20171120T160539
000000020/000000030 S30_T18SUJ_20181018T155241
000000021/000000030 S30_T18SUJ_20200309T155959
000000022/000000030 S30_T18SUJ_20230523T155829
000000023/000000030 S30_T18SUJ_20230724T154821
000000024/000000030 S30_T18SUJ_20231012T155201
000000025/000000030 S30_T18SUJ_20231209T160649
000000026/000000030 S30_T18SUJ_20240219T155311
000000027/000000030 S30_T18SUJ_20240502T155901
000000028/000000030 S30_T18SUJ_20240708T154941
000000029/000000030 S30_T18SUJ_20240901T154819
