cn507
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000020/000001040 L30_T18SUH_20131014T154819
000000040/000001040 L30_T18SUH_20140526T154559
000000060/000001040 L30_T18SUH_20141127T154027
000000080/000001040 L30_T18SUH_20150614T154543
000000100/000001040 L30_T18SUH_20151130T154025
000000120/000001040 L30_T18SUH_20160702T154618
000000140/000001040 L30_T18SUH_20161218T154031
000000160/000001040 L30_T18SUH_20170628T154002
000000180/000001040 L30_T18SUH_20171221T154028
000000200/000001040 L30_T18SUH_20180708T154534
000000220/000001040 L30_T18SUH_20190217T154611
000000240/000001040 L30_T18SUH_20190805T154021
000000260/000001040 L30_T18SUH_20200401T153957
000000280/000001040 L30_T18SUH_20200915T154641
000000300/000001040 L30_T18SUH_20210506T153945
000000320/000001040 L30_T18SUH_20211114T154037
000000340/000001040 L30_T18SUH_20220226T154019
000000360/000001040 L30_T18SUH_20220609T154559
000000380/000001040 L30_T18SUH_20220828T154641
000000400/000001040 L30_T18SUH_20221210T154658
000000420/000001040 L30_T18SUH_20230317T154024
000000440/000001040 L30_T18SUH_20230706T154607
000000460/000001040 L30_T18SUH_20231003T154023
000000480/000001040 L30_T18SUH_20231229T154636
000000500/000001040 L30_T18SUH_20240529T154548
000000520/000001040 L30_T18SUH_20241113T154625
000000540/000001040 L30_T18SUJ_20130912T154802
000000560/000001040 L30_T18SUJ_20140503T153933
000000580/000001040 L30_T18SUJ_20141102T154614
000000600/000001040 L30_T18SUJ_20150522T153855
000000620/000001040 L30_T18SUJ_20151105T154610
000000640/000001040 L30_T18SUJ_20160609T153933
000000660/000001040 L30_T18SUJ_20161123T154623
000000680/000001040 L30_T18SUJ_20170603T154540
000000700/000001040 L30_T18SUJ_20171119T154005
000000720/000001040 L30_T18SUJ_20180606T154450
000000740/000001040 L30_T18SUJ_20190116T154616
000000760/000001040 L30_T18SUJ_20190711T154559
000000780/000001040 L30_T18SUJ_20200229T153950
000000800/000001040 L30_T18SUJ_20200823T153957
000000820/000001040 L30_T18SUJ_20210411T154609
000000840/000001040 L30_T18SUJ_20211004T154625
000000860/000001040 L30_T18SUJ_20220217T154613
000000880/000001040 L30_T18SUJ_20220525T153948
000000900/000001040 L30_T18SUJ_20220813T154023
000000920/000001040 L30_T18SUJ_20221117T154023
000000940/000001040 L30_T18SUJ_20230301T154007
000000960/000001040 L30_T18SUJ_20230613T153919
000000980/000001040 L30_T18SUJ_20230916T154608
000001000/000001040 L30_T18SUJ_20231214T154010
000001020/000001040 L30_T18SUJ_20240606T154508
000001040/000001040 L30_T18SUJ_20241224T154019
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000020/000000597 S30_T18SUH_20160620T160132
000000040/000000597 S30_T18SUH_20161120T160552
000000060/000000597 S30_T18SUH_20170608T161221
000000080/000000597 S30_T18SUH_20171016T160241
000000100/000000597 S30_T18SUH_20180205T155429
000000120/000000597 S30_T18SUH_20191227T155649
000000140/000000597 S30_T18SUH_20210922T154951
000000160/000000597 S30_T18SUH_20230707T155821
000000180/000000597 S30_T18SUH_20230927T154929
000000200/000000597 S30_T18SUH_20231206T155639
000000220/000000597 S30_T18SUH_20240209T155411
000000240/000000597 S30_T18SUH_20240422T155821
000000260/000000597 S30_T18SUH_20240628T154941
000000280/000000597 S30_T18SUH_20240820T155901
000000300/000000597 S30_T18SUJ_20160214T160352
000000320/000000597 S30_T18SUJ_20160822T155902
000000340/000000597 S30_T18SUJ_20170208T160411
000000360/000000597 S30_T18SUJ_20170723T155909
000000380/000000597 S30_T18SUJ_20171028T160119
000000400/000000597 S30_T18SUJ_20180218T160309
000000420/000000597 S30_T18SUJ_20200119T160559
000000440/000000597 S30_T18SUJ_20210927T154929
000000460/000000597 S30_T18SUJ_20230702T155829
000000480/000000597 S30_T18SUJ_20230912T154841
000000500/000000597 S30_T18SUJ_20231116T155529
000000520/000000597 S30_T18SUJ_20240113T160621
000000540/000000597 S30_T18SUJ_20240407T155819
