cn508
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000013/000001040 L30_T18SUH_20130811T154827
000000033/000001040 L30_T18SUH_20140401T154029
000000053/000001040 L30_T18SUH_20141001T154636
000000073/000001040 L30_T18SUH_20150420T153938
000000093/000001040 L30_T18SUH_20150927T154016
000000113/000001040 L30_T18SUH_20160508T153950
000000133/000001040 L30_T18SUH_20161022T154647
000000153/000001040 L30_T18SUH_20170416T154553
000000173/000001040 L30_T18SUH_20171018T154034
000000193/000001040 L30_T18SUH_20180505T154534
000000213/000001040 L30_T18SUH_20181129T154622
000000233/000001040 L30_T18SUH_20190609T154614
000000253/000001040 L30_T18SUH_20191218T154644
000000273/000001040 L30_T18SUH_20200722T154010
000000293/000001040 L30_T18SUH_20210310T154620
000000313/000001040 L30_T18SUH_20210902T154641
000000333/000001040 L30_T18SUH_20220201T154643
000000353/000001040 L30_T18SUH_20220501T154000
000000373/000001040 L30_T18SUH_20220728T154039
000000393/000001040 L30_T18SUH_20221031T154652
000000413/000001040 L30_T18SUH_20230213T154045
000000433/000001040 L30_T18SUH_20230519T154543
000000453/000001040 L30_T18SUH_20230831T154623
000000473/000001040 L30_T18SUH_20231128T154034
000000493/000001040 L30_T18SUH_20240319T154025
000000513/000001040 L30_T18SUH_20240802T153952
000000533/000001040 L30_T18SUJ_20130719T154150
000000553/000001040 L30_T18SUJ_20140228T154031
000000573/000001040 L30_T18SUJ_20140814T154606
000000593/000001040 L30_T18SUJ_20150326T154533
000000613/000001040 L30_T18SUJ_20150902T154551
000000633/000001040 L30_T18SUJ_20160406T153930
000000653/000001040 L30_T18SUJ_20160920T154617
000000673/000001040 L30_T18SUJ_20170315T154610
000000693/000001040 L30_T18SUJ_20170923T154614
000000713/000001040 L30_T18SUJ_20180412T153912
000000733/000001040 L30_T18SUJ_20181021T153944
000000753/000001040 L30_T18SUJ_20190517T153928
000000773/000001040 L30_T18SUJ_20191125T154011
000000793/000001040 L30_T18SUJ_20200627T154548
000000813/000001040 L30_T18SUJ_20210130T154000
000000833/000001040 L30_T18SUJ_20210810T153959
000000853/000001040 L30_T18SUJ_20220116T154617
000000873/000001040 L30_T18SUJ_20220422T154548
000000893/000001040 L30_T18SUJ_20220719T154619
000000913/000001040 L30_T18SUJ_20221008T154014
000000933/000001040 L30_T18SUJ_20230128T154017
000000953/000001040 L30_T18SUJ_20230504T153954
000000973/000001040 L30_T18SUJ_20230815T154549
000000993/000001040 L30_T18SUJ_20231112T154002
000001013/000001040 L30_T18SUJ_20240303T154003
000001033/000001040 L30_T18SUJ_20241013T153951
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000013/000000597 S30_T18SUH_20160411T160132
000000033/000000597 S30_T18SUH_20161011T161212
