cn507
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000016/000001040 L30_T18SUH_20130905T154218
000000036/000001040 L30_T18SUH_20140424T154618
000000056/000001040 L30_T18SUH_20141026T154028
000000076/000001040 L30_T18SUH_20150513T154528
000000096/000001040 L30_T18SUH_20151029T154022
000000116/000001040 L30_T18SUH_20160531T154606
000000136/000001040 L30_T18SUH_20161116T154036
000000156/000001040 L30_T18SUH_20170527T153950
000000176/000001040 L30_T18SUH_20171110T154643
000000196/000001040 L30_T18SUH_20180530T153904
000000216/000001040 L30_T18SUH_20190109T154007
000000236/000001040 L30_T18SUH_20190704T154011
000000256/000001040 L30_T18SUH_20200119T154636
000000276/000001040 L30_T18SUH_20200814T154627
000000296/000001040 L30_T18SUH_20210404T154001
000000316/000001040 L30_T18SUH_20210927T154036
000000336/000001040 L30_T18SUH_20220210T154030
000000356/000001040 L30_T18SUH_20220517T153949
000000376/000001040 L30_T18SUH_20220812T154637
000000396/000001040 L30_T18SUH_20221116T154655
000000416/000001040 L30_T18SUH_20230228T154630
000000436/000001040 L30_T18SUH_20230605T153942
000000456/000001040 L30_T18SUH_20230909T154018
000000476/000001040 L30_T18SUH_20231213T154637
000000496/000001040 L30_T18SUH_20240420T154000
000000516/000001040 L30_T18SUH_20241020T154634
000000536/000001040 L30_T18SUJ_20130811T154803
000000556/000001040 L30_T18SUJ_20140401T154005
000000576/000001040 L30_T18SUJ_20141001T154612
000000596/000001040 L30_T18SUJ_20150420T153938
000000616/000001040 L30_T18SUJ_20150927T153952
000000636/000001040 L30_T18SUJ_20160508T153926
000000656/000001040 L30_T18SUJ_20161022T154623
000000676/000001040 L30_T18SUJ_20170416T154529
000000696/000001040 L30_T18SUJ_20171018T154010
000000716/000001040 L30_T18SUJ_20180505T154510
000000736/000001040 L30_T18SUJ_20181129T154558
000000756/000001040 L30_T18SUJ_20190609T154550
000000776/000001040 L30_T18SUJ_20191218T154620
000000796/000001040 L30_T18SUJ_20200722T153946
000000816/000001040 L30_T18SUJ_20210310T154557
000000836/000001040 L30_T18SUJ_20210902T154617
000000856/000001040 L30_T18SUJ_20220201T154619
000000876/000001040 L30_T18SUJ_20220501T153936
000000896/000001040 L30_T18SUJ_20220728T154015
000000916/000001040 L30_T18SUJ_20221031T154628
000000936/000001040 L30_T18SUJ_20230213T154021
000000956/000001040 L30_T18SUJ_20230519T154519
000000976/000001040 L30_T18SUJ_20230831T154559
000000996/000001040 L30_T18SUJ_20231128T154011
000001016/000001040 L30_T18SUJ_20240420T153937
000001036/000001040 L30_T18SUJ_20241106T153953
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000016/000000597 S30_T18SUH_20160514T155912
000000036/000000597 S30_T18SUH_20161031T161212
000000056/000000597 S30_T18SUH_20170509T155911
000000076/000000597 S30_T18SUH_20170926T160021
000000096/000000597 S30_T18SUH_20180106T155629
000000116/000000597 S30_T18SUH_20191028T155259
000000136/000000597 S30_T18SUH_20210425T154901
000000156/000000597 S30_T18SUH_20230624T154811
000000176/000000597 S30_T18SUH_20230907T154819
