cn508
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000009/000001040 L30_T18SUH_20130703T154215
000000029/000001040 L30_T18SUH_20140212T154107
000000049/000001040 L30_T18SUH_20140807T154017
000000069/000001040 L30_T18SUH_20150319T153950
000000089/000001040 L30_T18SUH_20150826T154003
000000109/000001040 L30_T18SUH_20160328T154608
000000129/000001040 L30_T18SUH_20160913T154029
000000149/000001040 L30_T18SUH_20170308T154003
000000169/000001040 L30_T18SUH_20170916T154023
000000189/000001040 L30_T18SUH_20180327T153945
000000209/000001040 L30_T18SUH_20181012T154616
000000229/000001040 L30_T18SUH_20190508T154556
000000249/000001040 L30_T18SUH_20191116T154647
000000269/000001040 L30_T18SUH_20200620T153957
000000289/000001040 L30_T18SUH_20210121T154635
000000309/000001040 L30_T18SUH_20210725T154016
000000329/000001040 L30_T18SUH_20211224T154033
000000349/000001040 L30_T18SUH_20220415T154006
000000369/000001040 L30_T18SUH_20220712T154029
000000389/000001040 L30_T18SUH_20221007T154701
000000409/000001040 L30_T18SUH_20230120T154035
000000429/000001040 L30_T18SUH_20230503T154553
000000449/000001040 L30_T18SUH_20230808T154002
000000469/000001040 L30_T18SUH_20231111T154635
000000489/000001040 L30_T18SUH_20240215T154630
000000509/000001040 L30_T18SUH_20240716T154553
000000529/000001040 L30_T18SUJ_20130608T154828
000000549/000001040 L30_T18SUJ_20131217T154756
000000569/000001040 L30_T18SUJ_20140713T154555
000000589/000001040 L30_T18SUJ_20150206T154557
000000609/000001040 L30_T18SUJ_20150801T154540
000000629/000001040 L30_T18SUJ_20160218T153945
000000649/000001040 L30_T18SUJ_20160819T154609
000000669/000001040 L30_T18SUJ_20170211T154600
000000689/000001040 L30_T18SUJ_20170822T154607
000000709/000001040 L30_T18SUJ_20180302T154608
000000729/000001040 L30_T18SUJ_20180903T153926
000000749/000001040 L30_T18SUJ_20190415T153919
000000769/000001040 L30_T18SUJ_20191015T154626
000000789/000001040 L30_T18SUJ_20200526T154530
000000809/000001040 L30_T18SUJ_20201213T154013
000000829/000001040 L30_T18SUJ_20210630T154556
000000849/000001040 L30_T18SUJ_20211215T154620
000000869/000001040 L30_T18SUJ_20220329T154547
000000889/000001040 L30_T18SUJ_20220703T154617
000000909/000001040 L30_T18SUJ_20220922T154036
000000929/000001040 L30_T18SUJ_20230104T154017
000000949/000001040 L30_T18SUJ_20230418T153943
000000969/000001040 L30_T18SUJ_20230730T154543
000000989/000001040 L30_T18SUJ_20231027T154004
000001009/000001040 L30_T18SUJ_20240207T154622
000001029/000001040 L30_T18SUJ_20240725T153916
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000009/000000597 S30_T18SUH_20160211T160122
000000029/000000597 S30_T18SUH_20160908T160132
000000049/000000597 S30_T18SUH_20170218T160351
000000069/000000597 S30_T18SUH_20170730T154909
000000089/000000597 S30_T18SUH_20171117T155519
000000109/000000597 S30_T18SUH_20180610T154901
000000129/000000597 S30_T18SUH_20200410T154901
000000149/000000597 S30_T18SUH_20230530T154819
000000169/000000597 S30_T18SUH_20230813T154941
000000189/000000597 S30_T18SUH_20231022T155311
000000209/000000597 S30_T18SUH_20231231T155651
000000229/000000597 S30_T18SUH_20240310T155051
000000249/000000597 S30_T18SUH_20240529T154941
000000269/000000597 S30_T18SUH_20240721T155901
000000289/000000597 S30_T18SUH_20240916T154911
000000309/000000597 S30_T18SUJ_20160610T155412
000000329/000000597 S30_T18SUJ_20161107T160132
000000349/000000597 S30_T18SUJ_20170526T160131
000000369/000000597 S30_T18SUJ_20170911T161209
000000389/000000597 S30_T18SUJ_20171207T155629
000000409/000000597 S30_T18SUJ_20190307T155111
000000429/000000597 S30_T18SUJ_20200403T155901
000000449/000000597 S30_T18SUJ_20230530T154819
000000469/000000597 S30_T18SUJ_20230729T154819
000000489/000000597 S30_T18SUJ_20231017T155149
000000509/000000597 S30_T18SUJ_20231214T160651
000000529/000000597 S30_T18SUJ_20240229T155201
000000549/000000597 S30_T18SUJ_20240512T155901
000000569/000000597 S30_T18SUJ_20240713T154819
000000589/000000597 S30_T18SUJ_20240906T154811
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000009/000000492 L30_T19TEK_20131103T152152
000000029/000000492 L30_T19TEK_20150517T151909
000000049/000000492 L30_T19TEK_20160706T152001
000000069/000000492 L30_T19TEK_20171029T152026
000000089/000000492 L30_T19TEK_20181117T152004
000000109/000000492 L30_T19TEK_20200208T152011
000000129/000000492 L30_T19TEK_20210330T151955
000000149/000000492 L30_T19TEK_20220221T152015
000000169/000000492 L30_T19TEK_20220925T152047
000000189/000000492 L30_T19TEK_20230507T151931
000000209/000000492 L30_T19TEK_20231201T152019
000000229/000000492 L30_T19TEK_20240906T151950
000000249/000000492 L30_T19TEL_20140327T151959
000000269/000000492 L30_T19TEL_20150501T151857
000000289/000000492 L30_T19TEL_20160604T151924
000000309/000000492 L30_T19TEL_20170911T151950
000000329/000000492 L30_T19TEL_20180728T151859
000000349/000000492 L30_T19TEL_20190901T151956
000000369/000000492 L30_T19TEL_20200809T152553
000000389/000000492 L30_T19TEL_20210821T151954
000000409/000000492 L30_T19TEL_20220410T152002
000000429/000000492 L30_T19TEL_20221104T152008
000000449/000000492 L30_T19TEL_20230616T151903
000000469/000000492 L30_T19TEL_20240203T151949
000000489/000000492 L30_T19TEL_20241117T151946
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000009/000000505 S30_T19TEK_20160701T152632
000000029/000000505 S30_T19TEK_20170606T152631
000000049/000000505 S30_T19TEK_20171108T152609
000000069/000000505 S30_T19TEK_20180611T152631
000000089/000000505 S30_T19TEK_20200120T153549
000000109/000000505 S30_T19TEK_20210327T152621
000000129/000000505 S30_T19TEK_20230610T152629
000000149/000000505 S30_T19TEK_20230824T152631
000000169/000000505 S30_T19TEK_20231115T153551
000000189/000000505 S30_T19TEK_20240205T152629
000000209/000000505 S30_T19TEK_20240425T152619
000000229/000000505 S30_T19TEK_20240627T153559
000000249/000000505 S30_T19TEK_20240831T153551
000000269/000000505 S30_T19TEL_20160714T153602
000000289/000000505 S30_T19TEL_20170619T153601
000000309/000000505 S30_T19TEL_20171118T152619
000000329/000000505 S30_T19TEL_20180907T153549
000000349/000000505 S30_T19TEL_20200302T152621
000000369/000000505 S30_T19TEL_20210618T153601
000000389/000000505 S30_T19TEL_20230713T153559
000000409/000000505 S30_T19TEL_20231001T153559
000000429/000000505 S30_T19TEL_20231225T153641
000000449/000000505 S30_T19TEL_20240316T152629
000000469/000000505 S30_T19TEL_20240530T152631
000000489/000000505 S30_T19TEL_20240813T152629
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000009/000000614 L30_T11SNC_20130927T182249
000000029/000000614 L30_T11SNC_20140829T182102
000000049/000000614 L30_T11SNC_20150715T182030
000000069/000000614 L30_T11SNC_20160717T182055
000000089/000000614 L30_T11SNC_20170704T182044
000000109/000000614 L30_T11SNC_20180520T181954
000000129/000000614 L30_T11SNC_20190421T182022
000000149/000000614 L30_T11SNC_20200322T182045
000000169/000000614 L30_T11SNC_20210221T182059
000000189/000000614 L30_T11SNC_20211123T182326
000000209/000000614 L30_T11SNC_20220515T182053
000000229/000000614 L30_T11SNC_20221030T182123
000000249/000000614 L30_T11SNC_20230502T182025
000000269/000000614 L30_T11SNC_20231017T182112
000000289/000000614 L30_T11SNC_20240410T182054
000000309/000000614 L30_T11SPC_20130522T182259
000000329/000000614 L30_T11SPC_20140423T182049
000000349/000000614 L30_T11SPC_20150325T182028
000000369/000000614 L30_T11SPC_20160311T182048
000000389/000000614 L30_T11SPC_20170314T182041
000000409/000000614 L30_T11SPC_20180128T182052
000000429/000000614 L30_T11SPC_20181230T182050
000000449/000000614 L30_T11SPC_20191115T182118
000000469/000000614 L30_T11SPC_20201016T182117
000000489/000000614 L30_T11SPC_20210917T182114
000000509/000000614 L30_T11SPC_20220312T182055
000000529/000000614 L30_T11SPC_20220819T182129
000000549/000000614 L30_T11SPC_20230219T182119
000000569/000000614 L30_T11SPC_20230814T182043
000000589/000000614 L30_T11SPC_20240121T182111
000000609/000000614 L30_T11SPC_20240917T182047
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000009/000000723 S30_T11SNC_20160330T183252
000000029/000000723 S30_T11SNC_20160804T181922
000000049/000000723 S30_T11SNC_20161205T184332
000000069/000000723 S30_T11SNC_20170514T184331
000000089/000000723 S30_T11SNC_20170807T182919
000000109/000000723 S30_T11SNC_20171110T184331
000000129/000000723 S30_T11SNC_20180218T183421
000000149/000000723 S30_T11SNC_20190603T182921
000000169/000000723 S30_T11SNC_20200301T182259
000000189/000000723 S30_T11SNC_20210920T183041
000000209/000000723 S30_T11SNC_20230622T182921
000000229/000000723 S30_T11SNC_20230826T182919
000000249/000000723 S30_T11SNC_20231104T183539
000000269/000000723 S30_T11SNC_20231229T183801
000000289/000000723 S30_T11SNC_20240303T183249
000000309/000000723 S30_T11SNC_20240509T181919
000000329/000000723 S30_T11SNC_20240701T182919
000000349/000000723 S30_T11SNC_20240827T181919
000000369/000000723 S30_T11SPC_20160130T183612
000000389/000000723 S30_T11SPC_20160725T183312
000000409/000000723 S30_T11SPC_20161122T182702
000000429/000000723 S30_T11SPC_20170511T181921
000000449/000000723 S30_T11SPC_20170807T182919
000000469/000000723 S30_T11SPC_20171105T184319
000000489/000000723 S30_T11SPC_20180213T183449
000000509/000000723 S30_T11SPC_20191001T183151
000000529/000000723 S30_T11SPC_20200410T181909
000000549/000000723 S30_T11SPC_20230505T181919
000000569/000000723 S30_T11SPC_20230629T181921
000000589/000000723 S30_T11SPC_20230902T181919
000000609/000000723 S30_T11SPC_20231109T183601
000000629/000000723 S30_T11SPC_20240105T182741
000000649/000000723 S30_T11SPC_20240303T183249
000000669/000000723 S30_T11SPC_20240507T182921
000000689/000000723 S30_T11SPC_20240626T182921
000000709/000000723 S30_T11SPC_20240822T181921
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000009/000000320 L30_T13SCS_20130809T174118
000000029/000000320 L30_T13SCS_20140711T173908
000000049/000000320 L30_T13SCS_20150527T173821
000000069/000000320 L30_T13SCS_20160411T173853
000000089/000000320 L30_T13SCS_20170313T173901
000000109/000000320 L30_T13SCS_20180127T173913
000000129/000000320 L30_T13SCS_20181213T173909
000000149/000000320 L30_T13SCS_20191029T173941
000000169/000000320 L30_T13SCS_20200913T173931
000000189/000000320 L30_T13SCS_20210815T173926
000000209/000000320 L30_T13SCS_20220223T173919
000000229/000000320 L30_T13SCS_20220810T173927
000000249/000000320 L30_T13SCS_20230117T173937
000000269/000000320 L30_T13SCS_20230626T173838
000000289/000000320 L30_T13SCS_20231211T173926
000000309/000000320 L30_T13SCS_20240714T173843
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000009/000000337 S30_T13SCS_20160424T173952
000000029/000000337 S30_T13SCS_20161130T174712
000000049/000000337 S30_T13SCS_20170621T175251
000000069/000000337 S30_T13SCS_20171026T174421
000000089/000000337 S30_T13SCS_20180218T174359
000000109/000000337 S30_T13SCS_20191228T175741
000000129/000000337 S30_T13SCS_20200421T174859
000000149/000000337 S30_T13SCS_20230401T174911
000000169/000000337 S30_T13SCS_20230627T173911
000000189/000000337 S30_T13SCS_20230829T174911
000000209/000000337 S30_T13SCS_20231025T174421
000000229/000000337 S30_T13SCS_20231222T175749
000000249/000000337 S30_T13SCS_20240217T174409
000000269/000000337 S30_T13SCS_20240410T174909
000000289/000000337 S30_T13SCS_20240530T174909
000000309/000000337 S30_T13SCS_20240721T173901
000000329/000000337 S30_T13SCS_20240914T173859
Finished!
