cn507
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000000/000000052 L30_T18SUH_20130430T154203
000000001/000000052 L30_T18SUH_20131115T154808
000000002/000000052 L30_T18SUH_20140620T153959
000000003/000000052 L30_T18SUH_20141229T154018
000000004/000000052 L30_T18SUH_20150709T153946
000000005/000000052 L30_T18SUH_20160101T154022
000000006/000000052 L30_T18SUH_20160727T154016
000000007/000000052 L30_T18SUH_20170119T154024
000000008/000000052 L30_T18SUH_20170721T154619
000000009/000000052 L30_T18SUH_20180113T154630
000000010/000000052 L30_T18SUH_20180809T154549
000000011/000000052 L30_T18SUH_20190314T153951
000000012/000000052 L30_T18SUH_20190828T154638
000000013/000000052 L30_T18SUH_20200503T153942
000000014/000000052 L30_T18SUH_20201017T154647
000000015/000000052 L30_T18SUH_20210607T154003
000000016/000000052 L30_T18SUH_20211121T154647
000000017/000000052 L30_T18SUH_20220313T154624
000000018/000000052 L30_T18SUH_20220618T153956
000000019/000000052 L30_T18SUH_20220913T154643
000000020/000000052 L30_T18SUH_20221226T154651
000000021/000000052 L30_T18SUH_20230409T154621
000000022/000000052 L30_T18SUH_20230715T153958
000000023/000000052 L30_T18SUH_20231018T154641
000000024/000000052 L30_T18SUH_20240114T154634
000000025/000000052 L30_T18SUH_20240607T153937
000000026/000000052 L30_T18SUH_20241224T154019
000000027/000000052 L30_T18SUJ_20131014T154755
000000028/000000052 L30_T18SUJ_20140526T154535
000000029/000000052 L30_T18SUJ_20141127T154027
000000030/000000052 L30_T18SUJ_20150614T154520
000000031/000000052 L30_T18SUJ_20151130T154001
000000032/000000052 L30_T18SUJ_20160702T154554
000000033/000000052 L30_T18SUJ_20161218T154031
000000034/000000052 L30_T18SUJ_20170628T153938
000000035/000000052 L30_T18SUJ_20171221T154004
000000036/000000052 L30_T18SUJ_20180708T154510
000000037/000000052 L30_T18SUJ_20190217T154547
000000038/000000052 L30_T18SUJ_20190805T153957
000000039/000000052 L30_T18SUJ_20200401T153933
000000040/000000052 L30_T18SUJ_20200915T154617
000000041/000000052 L30_T18SUJ_20210506T153921
000000042/000000052 L30_T18SUJ_20211114T154013
000000043/000000052 L30_T18SUJ_20220226T153956
000000044/000000052 L30_T18SUJ_20220609T154535
000000045/000000052 L30_T18SUJ_20220828T154617
000000046/000000052 L30_T18SUJ_20221210T154634
000000047/000000052 L30_T18SUJ_20230317T154000
000000048/000000052 L30_T18SUJ_20230706T154543
000000049/000000052 L30_T18SUJ_20231003T153959
000000050/000000052 L30_T18SUJ_20231229T154612
000000051/000000052 L30_T18SUJ_20240623T153854
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000004/000000030 S30_T18SUH_20171023T155321
000000005/000000030 S30_T18SUH_20180218T160309
000000006/000000030 S30_T18SUH_20200218T160219
000000007/000000030 S30_T18SUH_20230420T154819
000000008/000000030 S30_T18SUH_20230714T154941
000000009/000000030 S30_T18SUH_20231005T160121
000000010/000000030 S30_T18SUH_20231214T160651
000000011/000000030 S30_T18SUH_20240219T155311
000000012/000000030 S30_T18SUH_20240502T155901
000000013/000000030 S30_T18SUH_20240706T155819
000000014/000000030 S30_T18SUH_20240827T154931
000000015/000000030 S30_T18SUJ_20160411T160132
000000016/000000030 S30_T18SUJ_20160911T155902
000000017/000000030 S30_T18SUJ_20170225T155221
000000018/000000030 S30_T18SUJ_20170802T161219
000000019/000000030 S30_T18SUJ_20171110T161159
000000020/000000030 S30_T18SUJ_20180509T155859
000000021/000000030 S30_T18SUJ_20200218T160219
000000022/000000030 S30_T18SUJ_20230326T154901
000000023/000000030 S30_T18SUJ_20230712T155829
000000024/000000030 S30_T18SUJ_20230930T155959
000000025/000000030 S30_T18SUJ_20231126T155609
000000026/000000030 S30_T18SUJ_20240207T160429
000000027/000000030 S30_T18SUJ_20240414T154809
000000028/000000030 S30_T18SUJ_20240628T154941
000000029/000000030 S30_T18SUJ_20240820T155901
