cn508
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000006/000001040 L30_T18SUH_20130608T154828
000000026/000001040 L30_T18SUH_20131217T154756
000000046/000001040 L30_T18SUH_20140713T154619
000000066/000001040 L30_T18SUH_20150206T154621
000000086/000001040 L30_T18SUH_20150801T154604
000000106/000001040 L30_T18SUH_20160218T154009
000000126/000001040 L30_T18SUH_20160819T154633
000000146/000001040 L30_T18SUH_20170211T154624
000000166/000001040 L30_T18SUH_20170822T154631
000000186/000001040 L30_T18SUH_20180302T154608
000000206/000001040 L30_T18SUH_20180903T153950
000000226/000001040 L30_T18SUH_20190415T153943
000000246/000001040 L30_T18SUH_20191015T154650
000000266/000001040 L30_T18SUH_20200526T154554
000000286/000001040 L30_T18SUH_20201213T154037
000000306/000001040 L30_T18SUH_20210630T154620
000000326/000001040 L30_T18SUH_20211215T154643
000000346/000001040 L30_T18SUH_20220329T154611
000000366/000001040 L30_T18SUH_20220703T154641
000000386/000001040 L30_T18SUH_20220922T154036
000000406/000001040 L30_T18SUH_20230104T154041
000000426/000001040 L30_T18SUH_20230418T154007
000000446/000001040 L30_T18SUH_20230730T154607
000000466/000001040 L30_T18SUH_20231027T154028
000000486/000001040 L30_T18SUH_20240131T154033
000000506/000001040 L30_T18SUH_20240630T154536
000000526/000001040 L30_T18SUJ_20130430T154139
000000546/000001040 L30_T18SUJ_20131115T154744
000000566/000001040 L30_T18SUJ_20140620T153935
000000586/000001040 L30_T18SUJ_20141229T153955
000000606/000001040 L30_T18SUJ_20150709T153922
000000626/000001040 L30_T18SUJ_20160101T154022
000000646/000001040 L30_T18SUJ_20160727T153952
000000666/000001040 L30_T18SUJ_20170119T154000
000000686/000001040 L30_T18SUJ_20170721T154556
000000706/000001040 L30_T18SUJ_20180113T154607
000000726/000001040 L30_T18SUJ_20180809T154526
000000746/000001040 L30_T18SUJ_20190314T153928
000000766/000001040 L30_T18SUJ_20190828T154638
000000786/000001040 L30_T18SUJ_20200503T153918
