cn507
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000015/000001040 L30_T18SUH_20130827T154829
000000035/000001040 L30_T18SUH_20140417T154011
000000055/000001040 L30_T18SUH_20141017T154641
000000075/000001040 L30_T18SUH_20150506T153923
000000095/000001040 L30_T18SUH_20151020T154630
000000115/000001040 L30_T18SUH_20160524T153953
000000135/000001040 L30_T18SUH_20161107T154647
000000155/000001040 L30_T18SUH_20170518T154555
000000175/000001040 L30_T18SUH_20171103T154033
000000195/000001040 L30_T18SUH_20180521T154523
000000215/000001040 L30_T18SUH_20181224T154008
000000235/000001040 L30_T18SUH_20190625T154619
000000255/000001040 L30_T18SUH_20200112T154027
000000275/000001040 L30_T18SUH_20200807T154014
000000295/000001040 L30_T18SUH_20210326T154614
000000315/000001040 L30_T18SUH_20210918T154644
000000335/000001040 L30_T18SUH_20220209T154633
000000355/000001040 L30_T18SUH_20220516T154623
000000375/000001040 L30_T18SUH_20220805T154023
000000395/000001040 L30_T18SUH_20221109T154043
000000415/000001040 L30_T18SUH_20230221T154024
000000435/000001040 L30_T18SUH_20230528T153934
000000455/000001040 L30_T18SUH_20230908T154626
000000475/000001040 L30_T18SUH_20231206T154021
000000495/000001040 L30_T18SUH_20240412T153950
000000515/000001040 L30_T18SUH_20241013T154015
000000535/000001040 L30_T18SUJ_20130804T154152
000000555/000001040 L30_T18SUJ_20140316T154021
000000575/000001040 L30_T18SUJ_20140924T153956
000000595/000001040 L30_T18SUJ_20150411T154525
000000615/000001040 L30_T18SUJ_20150918T154600
000000635/000001040 L30_T18SUJ_20160422T153923
000000655/000001040 L30_T18SUJ_20161015T154012
000000675/000001040 L30_T18SUJ_20170409T153922
000000695/000001040 L30_T18SUJ_20171009T154643
000000715/000001040 L30_T18SUJ_20180428T153903
000000735/000001040 L30_T18SUJ_20181122T153948
000000755/000001040 L30_T18SUJ_20190602T153936
000000775/000001040 L30_T18SUJ_20191211T154010
000000795/000001040 L30_T18SUJ_20200713T154554
000000815/000001040 L30_T18SUJ_20210303T153950
000000835/000001040 L30_T18SUJ_20210826T154003
000000855/000001040 L30_T18SUJ_20220124T154612
000000875/000001040 L30_T18SUJ_20220430T154549
000000895/000001040 L30_T18SUJ_20220727T154603
000000915/000001040 L30_T18SUJ_20221023T154639
000000935/000001040 L30_T18SUJ_20230205T154014
000000955/000001040 L30_T18SUJ_20230512T153910
000000975/000001040 L30_T18SUJ_20230823T154602
000000995/000001040 L30_T18SUJ_20231127T154617
000001015/000001040 L30_T18SUJ_20240404T153952
000001035/000001040 L30_T18SUJ_20241029T154000
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000015/000000597 S30_T18SUH_20160424T161222
000000035/000000597 S30_T18SUH_20161021T160402
000000055/000000597 S30_T18SUH_20170429T161221
000000075/000000597 S30_T18SUH_20170921T155929
000000095/000000597 S30_T18SUH_20180101T160121
000000115/000000597 S30_T18SUH_20191018T155249
000000135/000000597 S30_T18SUH_20210415T154901
000000155/000000597 S30_T18SUH_20230617T155821
000000175/000000597 S30_T18SUH_20230905T155821
000000195/000000597 S30_T18SUH_20231114T160521
000000215/000000597 S30_T18SUH_20240120T155551
000000235/000000597 S30_T18SUH_20240404T154819
000000255/000000597 S30_T18SUH_20240616T155819
000000275/000000597 S30_T18SUH_20240807T154941
000000295/000000597 S30_T18SUJ_20160102T155642
000000315/000000597 S30_T18SUJ_20160713T155912
000000335/000000597 S30_T18SUJ_20161210T161212
