cn509
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000002/000001040 L30_T18SUH_20130421T154814
000000022/000001040 L30_T18SUH_20131108T154200
000000042/000001040 L30_T18SUH_20140611T154608
000000062/000001040 L30_T18SUH_20141213T154021
000000082/000001040 L30_T18SUH_20150630T154550
000000102/000001040 L30_T18SUH_20151216T154024
000000122/000001040 L30_T18SUH_20160718T154625
000000142/000001040 L30_T18SUH_20170110T154637
000000162/000001040 L30_T18SUH_20170714T154005
000000182/000001040 L30_T18SUH_20180106T154023
000000202/000001040 L30_T18SUH_20180802T153934
000000222/000001040 L30_T18SUH_20190305T154606
000000242/000001040 L30_T18SUH_20190821T154025
000000262/000001040 L30_T18SUH_20200417T153951
000000282/000001040 L30_T18SUH_20201010T154036
000000302/000001040 L30_T18SUH_20210522T153955
000000322/000001040 L30_T18SUH_20211119T154336
000000342/000001040 L30_T18SUH_20220306T154016
000000362/000001040 L30_T18SUH_20220617T154638
000000382/000001040 L30_T18SUH_20220905T154700
000000402/000001040 L30_T18SUH_20221219T154041
000000422/000001040 L30_T18SUH_20230402T154013
000000442/000001040 L30_T18SUH_20230714T154603
000000462/000001040 L30_T18SUH_20231011T154027
000000482/000001040 L30_T18SUH_20240107T154021
000000502/000001040 L30_T18SUH_20240606T154532
000000522/000001040 L30_T18SUH_20241223T154638
000000542/000001040 L30_T18SUJ_20130928T154755
000000562/000001040 L30_T18SUJ_20140519T153923
000000582/000001040 L30_T18SUJ_20141118T154614
000000602/000001040 L30_T18SUJ_20150607T153905
000000622/000001040 L30_T18SUJ_20151121T154611
000000642/000001040 L30_T18SUJ_20160625T153939
000000662/000001040 L30_T18SUJ_20161209T154621
000000682/000001040 L30_T18SUJ_20170619T154546
000000702/000001040 L30_T18SUJ_20171205T154001
000000722/000001040 L30_T18SUJ_20180701T153855
000000742/000001040 L30_T18SUJ_20190210T153937
000000762/000001040 L30_T18SUJ_20190727T154604
000000782/000001040 L30_T18SUJ_20200316T153943
000000802/000001040 L30_T18SUJ_20200908T154004
000000822/000001040 L30_T18SUJ_20210427T154538
000000842/000001040 L30_T18SUJ_20211105T154627
000000862/000001040 L30_T18SUJ_20220225T154628
000000882/000001040 L30_T18SUJ_20220602T153924
000000902/000001040 L30_T18SUJ_20220821T154005
000000922/000001040 L30_T18SUJ_20221202T154627
000000942/000001040 L30_T18SUJ_20230309T153951
000000962/000001040 L30_T18SUJ_20230629T153927
000000982/000001040 L30_T18SUJ_20231002T154607
000001002/000001040 L30_T18SUJ_20231222T154005
000001022/000001040 L30_T18SUJ_20240622T154517
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000002/000000597 S30_T18SUH_20151226T161212
000000022/000000597 S30_T18SUH_20160713T155912
000000042/000000597 S30_T18SUH_20161207T155642
000000062/000000597 S30_T18SUH_20170618T155901
000000082/000000597 S30_T18SUH_20171021T161159
000000102/000000597 S30_T18SUH_20180213T160351
000000122/000000597 S30_T18SUH_20200215T155239
000000142/000000597 S30_T18SUH_20230306T155121
000000162/000000597 S30_T18SUH_20230712T155829
000000182/000000597 S30_T18SUH_20231002T155101
000000202/000000597 S30_T18SUH_20231211T155641
000000222/000000597 S30_T18SUH_20240217T160239
000000242/000000597 S30_T18SUH_20240429T154941
000000262/000000597 S30_T18SUH_20240703T154819
000000282/000000597 S30_T18SUH_20240825T155819
000000302/000000597 S30_T18SUJ_20160401T154922
000000322/000000597 S30_T18SUJ_20160908T160132
000000342/000000597 S30_T18SUJ_20170218T160351
000000362/000000597 S30_T18SUJ_20170730T154909
000000382/000000597 S30_T18SUJ_20171102T160131
000000402/000000597 S30_T18SUJ_20180411T155011
000000422/000000597 S30_T18SUJ_20200215T155239
000000442/000000597 S30_T18SUJ_20230304T160149
000000462/000000597 S30_T18SUJ_20230707T155821
000000482/000000597 S30_T18SUJ_20230927T154929
000000502/000000597 S30_T18SUJ_20231124T160601
000000522/000000597 S30_T18SUJ_20240204T155449
000000542/000000597 S30_T18SUJ_20240412T155901
000000562/000000597 S30_T18SUJ_20240626T155819
000000582/000000597 S30_T18SUJ_20240817T154931
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000002/000000492 L30_T19TEK_20130527T152211
000000022/000000492 L30_T19TEK_20141005T152019
000000042/000000492 L30_T19TEK_20160128T152012
000000062/000000492 L30_T19TEK_20170709T151956
000000082/000000492 L30_T19TEK_20180712T151917
000000102/000000492 L30_T19TEK_20190917T152025
000000122/000000492 L30_T19TEK_20201005T152027
000000142/000000492 L30_T19TEK_20211109T152031
000000162/000000492 L30_T19TEK_20220723T152028
000000182/000000492 L30_T19TEK_20230131T152031
000000202/000000492 L30_T19TEK_20230904T152006
000000222/000000492 L30_T19TEK_20240517T151936
000000242/000000492 L30_T19TEL_20131002T152137
000000262/000000492 L30_T19TEL_20141021T151958
000000282/000000492 L30_T19TEL_20151125T151953
000000302/000000492 L30_T19TEL_20170303T151934
000000322/000000492 L30_T19TEL_20180509T151849
000000342/000000492 L30_T19TEL_20190426T151907
000000362/000000492 L30_T19TEL_20200412T151921
000000382/000000492 L30_T19TEL_20210501T151916
000000402/000000492 L30_T19TEL_20220205T151959
000000422/000000492 L30_T19TEL_20220909T152019
000000442/000000492 L30_T19TEL_20230413T151935
000000462/000000492 L30_T19TEL_20231014T151954
000000482/000000492 L30_T19TEL_20240712T151932
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000002/000000505 S30_T19TEK_20160106T153632
000000022/000000505 S30_T19TEK_20170219T153551
000000042/000000505 S30_T19TEK_20170922T153549
000000062/000000505 S30_T19TEK_20180219T153549
000000082/000000505 S30_T19TEK_20191128T152619
000000102/000000505 S30_T19TEK_20200703T153601
000000122/000000505 S30_T19TEK_20230519T153601
000000142/000000505 S30_T19TEK_20230728T153601
000000162/000000505 S30_T19TEK_20231013T152621
000000182/000000505 S30_T19TEK_20240111T152621
000000202/000000505 S30_T19TEK_20240331T152621
000000222/000000505 S30_T19TEK_20240602T153601
000000242/000000505 S30_T19TEK_20240811T153601
000000262/000000505 S30_T19TEL_20160306T153542
000000282/000000505 S30_T19TEL_20170130T153551
