cn507
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000000/000000052 L30_T18SUH_20130703T154215
000000001/000000052 L30_T18SUH_20140212T154107
000000002/000000052 L30_T18SUH_20140807T154017
000000003/000000052 L30_T18SUH_20150319T153950
000000004/000000052 L30_T18SUH_20150826T154003
000000005/000000052 L30_T18SUH_20160328T154608
000000006/000000052 L30_T18SUH_20160913T154029
000000007/000000052 L30_T18SUH_20170308T154003
000000008/000000052 L30_T18SUH_20170916T154023
000000009/000000052 L30_T18SUH_20180327T153945
000000010/000000052 L30_T18SUH_20181012T154616
000000011/000000052 L30_T18SUH_20190508T154556
000000012/000000052 L30_T18SUH_20191116T154647
000000013/000000052 L30_T18SUH_20200620T153957
000000014/000000052 L30_T18SUH_20210121T154635
000000015/000000052 L30_T18SUH_20210725T154016
000000016/000000052 L30_T18SUH_20211224T154033
000000017/000000052 L30_T18SUH_20220415T154006
000000018/000000052 L30_T18SUH_20220712T154029
000000019/000000052 L30_T18SUH_20221007T154701
000000020/000000052 L30_T18SUH_20230120T154035
000000021/000000052 L30_T18SUH_20230503T154553
000000022/000000052 L30_T18SUH_20230808T154002
000000023/000000052 L30_T18SUH_20231111T154635
000000024/000000052 L30_T18SUH_20240215T154630
000000025/000000052 L30_T18SUH_20240716T154553
000000026/000000052 L30_T18SUJ_20130608T154828
000000027/000000052 L30_T18SUJ_20131217T154756
000000028/000000052 L30_T18SUJ_20140713T154555
000000029/000000052 L30_T18SUJ_20150206T154557
000000030/000000052 L30_T18SUJ_20150801T154540
000000031/000000052 L30_T18SUJ_20160218T153945
000000032/000000052 L30_T18SUJ_20160819T154609
000000033/000000052 L30_T18SUJ_20170211T154600
000000034/000000052 L30_T18SUJ_20170822T154607
000000035/000000052 L30_T18SUJ_20180302T154608
000000036/000000052 L30_T18SUJ_20180903T153926
000000037/000000052 L30_T18SUJ_20190415T153919
000000038/000000052 L30_T18SUJ_20191015T154626
000000039/000000052 L30_T18SUJ_20200526T154530
000000040/000000052 L30_T18SUJ_20201213T154013
000000041/000000052 L30_T18SUJ_20210630T154556
000000042/000000052 L30_T18SUJ_20211215T154620
000000043/000000052 L30_T18SUJ_20220329T154547
000000044/000000052 L30_T18SUJ_20220703T154617
000000045/000000052 L30_T18SUJ_20220922T154036
000000046/000000052 L30_T18SUJ_20230104T154017
000000047/000000052 L30_T18SUJ_20230418T153943
000000048/000000052 L30_T18SUJ_20230730T154543
000000049/000000052 L30_T18SUJ_20231027T154004
000000050/000000052 L30_T18SUJ_20240207T154622
000000051/000000052 L30_T18SUJ_20240725T153916
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000004/000000030 S30_T18SUH_20171117T155519
000000005/000000030 S30_T18SUH_20180610T154901
000000006/000000030 S30_T18SUH_20200410T154901
000000007/000000030 S30_T18SUH_20230530T154819
000000008/000000030 S30_T18SUH_20230813T154941
000000009/000000030 S30_T18SUH_20231022T155311
000000010/000000030 S30_T18SUH_20231231T155651
000000011/000000030 S30_T18SUH_20240310T155051
000000012/000000030 S30_T18SUH_20240529T154941
000000013/000000030 S30_T18SUH_20240721T155901
000000014/000000030 S30_T18SUH_20240916T154911
000000015/000000030 S30_T18SUJ_20160610T155412
000000016/000000030 S30_T18SUJ_20161107T160132
000000017/000000030 S30_T18SUJ_20170526T160131
000000018/000000030 S30_T18SUJ_20170911T161209
000000019/000000030 S30_T18SUJ_20171207T155629
000000020/000000030 S30_T18SUJ_20190307T155111
000000021/000000030 S30_T18SUJ_20200403T155901
000000022/000000030 S30_T18SUJ_20230530T154819
000000023/000000030 S30_T18SUJ_20230729T154819
000000024/000000030 S30_T18SUJ_20231017T155149
000000025/000000030 S30_T18SUJ_20231214T160651
000000026/000000030 S30_T18SUJ_20240229T155201
000000027/000000030 S30_T18SUJ_20240512T155901
000000028/000000030 S30_T18SUJ_20240713T154819
000000029/000000030 S30_T18SUJ_20240906T154811
