cn508
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000007/000001040 L30_T18SUH_20130617T154213
000000027/000001040 L30_T18SUH_20131226T154142
000000047/000001040 L30_T18SUH_20140722T154008
000000067/000001040 L30_T18SUH_20150215T154004
000000087/000001040 L30_T18SUH_20150810T153956
000000107/000001040 L30_T18SUH_20160305T154009
000000127/000001040 L30_T18SUH_20160828T154026
000000147/000001040 L30_T18SUH_20170220T154010
000000167/000001040 L30_T18SUH_20170831T154022
000000187/000001040 L30_T18SUH_20180311T153952
000000207/000001040 L30_T18SUH_20180919T153954
000000227/000001040 L30_T18SUH_20190422T154551
000000247/000001040 L30_T18SUH_20191024T154040
000000267/000001040 L30_T18SUH_20200604T153948
000000287/000001040 L30_T18SUH_20201229T154033
000000307/000001040 L30_T18SUH_20210709T154010
000000327/000001040 L30_T18SUH_20211216T154036
000000347/000001040 L30_T18SUH_20220330T154013
000000367/000001040 L30_T18SUH_20220704T154007
000000387/000001040 L30_T18SUH_20220929T154648
000000407/000001040 L30_T18SUH_20230111T154648
000000427/000001040 L30_T18SUH_20230425T154615
000000447/000001040 L30_T18SUH_20230731T154006
000000467/000001040 L30_T18SUH_20231103T154634
000000487/000001040 L30_T18SUH_20240207T154645
000000507/000001040 L30_T18SUH_20240708T154549
000000527/000001040 L30_T18SUJ_20130516T154151
000000547/000001040 L30_T18SUJ_20131124T154128
000000567/000001040 L30_T18SUJ_20140627T154546
000000587/000001040 L30_T18SUJ_20150105T154606
000000607/000001040 L30_T18SUJ_20150716T154536
000000627/000001040 L30_T18SUJ_20160124T154607
000000647/000001040 L30_T18SUJ_20160803T154604
000000667/000001040 L30_T18SUJ_20170126T154608
000000687/000001040 L30_T18SUJ_20170730T153949
000000707/000001040 L30_T18SUJ_20180122T153951
000000727/000001040 L30_T18SUJ_20180818T153919
000000747/000001040 L30_T18SUJ_20190330T153925
000000767/000001040 L30_T18SUJ_20190922T154011
000000787/000001040 L30_T18SUJ_20200510T154526
000000807/000001040 L30_T18SUJ_20201118T154621
000000827/000001040 L30_T18SUJ_20210614T154553
000000847/000001040 L30_T18SUJ_20211124T154539
000000867/000001040 L30_T18SUJ_20220321T154602
000000887/000001040 L30_T18SUJ_20220625T154556
000000907/000001040 L30_T18SUJ_20220914T154030
000000927/000001040 L30_T18SUJ_20221227T154017
000000947/000001040 L30_T18SUJ_20230410T153926
000000967/000001040 L30_T18SUJ_20230722T154546
000000987/000001040 L30_T18SUJ_20231019T154000
000001007/000001040 L30_T18SUJ_20240123T153955
000001027/000001040 L30_T18SUJ_20240716T154530
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000007/000000597 S30_T18SUH_20160125T161212
000000027/000000597 S30_T18SUH_20160822T155902
000000047/000000597 S30_T18SUH_20170205T160121
000000067/000000597 S30_T18SUH_20170720T160129
000000087/000000597 S30_T18SUH_20171110T161159
000000107/000000597 S30_T18SUH_20180511T154911
000000127/000000597 S30_T18SUH_20200403T155901
000000147/000000597 S30_T18SUH_20230525T154941
000000167/000000597 S30_T18SUH_20230729T154819
000000187/000000597 S30_T18SUH_20231015T160231
000000207/000000597 S30_T18SUH_20231224T160701
000000227/000000597 S30_T18SUH_20240305T155029
000000247/000000597 S30_T18SUH_20240522T155901
000000267/000000597 S30_T18SUH_20240716T155819
000000287/000000597 S30_T18SUH_20240911T154809
000000307/000000597 S30_T18SUJ_20160514T155912
000000327/000000597 S30_T18SUJ_20161018T160122
000000347/000000597 S30_T18SUJ_20170516T154911
000000367/000000597 S30_T18SUJ_20170822T161209
000000387/000000597 S30_T18SUJ_20171120T160539
000000407/000000597 S30_T18SUJ_20181018T155241
000000427/000000597 S30_T18SUJ_20200309T155959
000000447/000000597 S30_T18SUJ_20230523T155829
000000467/000000597 S30_T18SUJ_20230724T154821
000000487/000000597 S30_T18SUJ_20231012T155201
000000507/000000597 S30_T18SUJ_20231209T160649
000000527/000000597 S30_T18SUJ_20240219T155311
000000547/000000597 S30_T18SUJ_20240502T155901
000000567/000000597 S30_T18SUJ_20240708T154941
000000587/000000597 S30_T18SUJ_20240901T154819
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000007/000000492 L30_T19TEK_20131002T152201
000000027/000000492 L30_T19TEK_20150415T151931
000000047/000000492 L30_T19TEK_20160604T151948
000000067/000000492 L30_T19TEK_20170927T152020
000000087/000000492 L30_T19TEK_20180930T151952
