cn508
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000000/000000052 L30_T18SUH_20130414T154205
000000001/000000052 L30_T18SUH_20131030T154810
000000002/000000052 L30_T18SUH_20140604T153954
000000003/000000052 L30_T18SUH_20141204T154637
000000004/000000052 L30_T18SUH_20150623T153935
000000005/000000052 L30_T18SUH_20151207T154634
000000006/000000052 L30_T18SUH_20160711T154011
000000007/000000052 L30_T18SUH_20161225T154641
000000008/000000052 L30_T18SUH_20170705T154614
000000009/000000052 L30_T18SUH_20171228T154637
000000010/000000052 L30_T18SUH_20180717T153927
000000011/000000052 L30_T18SUH_20190226T153957
000000012/000000052 L30_T18SUH_20190812T154634
000000013/000000052 L30_T18SUH_20200408T154605
000000014/000000052 L30_T18SUH_20201001T154645
000000015/000000052 L30_T18SUH_20210513T154601
000000016/000000052 L30_T18SUH_20211114T154108
000000017/000000052 L30_T18SUH_20220305T154628
000000018/000000052 L30_T18SUH_20220610T154023
000000019/000000052 L30_T18SUH_20220829T154048
000000020/000000052 L30_T18SUH_20221218T154652
000000021/000000052 L30_T18SUH_20230401T154613
000000022/000000052 L30_T18SUH_20230707T153949
000000023/000000052 L30_T18SUH_20231010T154636
000000024/000000052 L30_T18SUH_20231230T154034
000000025/000000052 L30_T18SUH_20240530T153918
000000026/000000052 L30_T18SUH_20241129T154638
000000027/000000052 L30_T18SUJ_20130921T154147
000000028/000000052 L30_T18SUJ_20140510T154539
000000029/000000052 L30_T18SUJ_20141111T154006
000000030/000000052 L30_T18SUJ_20150529T154507
000000031/000000052 L30_T18SUJ_20151114T153958
000000032/000000052 L30_T18SUJ_20160616T154608
000000033/000000052 L30_T18SUJ_20161202T154011
000000034/000000052 L30_T18SUJ_20170612T153933
000000035/000000052 L30_T18SUJ_20171126T154613
000000036/000000052 L30_T18SUJ_20180615T153846
000000037/000000052 L30_T18SUJ_20190125T153939
000000038/000000052 L30_T18SUJ_20190720T153950
000000039/000000052 L30_T18SUJ_20200307T154558
000000040/000000052 L30_T18SUJ_20200830T154611
000000041/000000052 L30_T18SUJ_20210420T153931
000000042/000000052 L30_T18SUJ_20211020T154629
000000043/000000052 L30_T18SUJ_20220218T153954
000000044/000000052 L30_T18SUJ_20220601T154603
000000045/000000052 L30_T18SUJ_20220820T154635
000000046/000000052 L30_T18SUJ_20221124T154636
000000047/000000052 L30_T18SUJ_20230308T154612
000000048/000000052 L30_T18SUJ_20230620T154531
000000049/000000052 L30_T18SUJ_20230917T153956
000000050/000000052 L30_T18SUJ_20231221T154623
000000051/000000052 L30_T18SUJ_20240607T153913
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000004/000000030 S30_T18SUH_20171018T155239
000000005/000000030 S30_T18SUH_20180208T160419
000000006/000000030 S30_T18SUH_20200119T160559
000000007/000000030 S30_T18SUH_20230304T160149
000000008/000000030 S30_T18SUH_20230709T154819
000000009/000000030 S30_T18SUH_20230930T155959
000000010/000000030 S30_T18SUH_20231209T160649
000000011/000000030 S30_T18SUH_20240214T155249
000000012/000000030 S30_T18SUH_20240424T154809
000000013/000000030 S30_T18SUH_20240701T160031
000000014/000000030 S30_T18SUH_20240822T154809
000000015/000000030 S30_T18SUJ_20160325T161202
000000016/000000030 S30_T18SUJ_20160829T154902
000000017/000000030 S30_T18SUJ_20170215T155401
000000018/000000030 S30_T18SUJ_20170725T160131
000000019/000000030 S30_T18SUJ_20171031T160359
000000020/000000030 S30_T18SUJ_20180310T160039
000000021/000000030 S30_T18SUJ_20200129T160509
000000022/000000030 S30_T18SUJ_20211119T160549
000000023/000000030 S30_T18SUJ_20230704T154941
000000024/000000030 S30_T18SUJ_20230922T154951
000000025/000000030 S30_T18SUJ_20231119T160549
000000026/000000030 S30_T18SUJ_20240120T155551
000000027/000000030 S30_T18SUJ_20240409T154811
000000028/000000030 S30_T18SUJ_20240623T154819
000000029/000000030 S30_T18SUJ_20240815T155819
