cn508
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000008/000001040 L30_T18SUH_20130624T154822
000000028/000001040 L30_T18SUH_20140118T154735
000000048/000001040 L30_T18SUH_20140729T154623
000000068/000001040 L30_T18SUH_20150310T154605
000000088/000001040 L30_T18SUH_20150817T154610
000000108/000001040 L30_T18SUH_20160321T154002
000000128/000001040 L30_T18SUH_20160904T154639
000000148/000001040 L30_T18SUH_20170227T154619
000000168/000001040 L30_T18SUH_20170907T154633
000000188/000001040 L30_T18SUH_20180318T154559
000000208/000001040 L30_T18SUH_20180926T154608
000000228/000001040 L30_T18SUH_20190501T153941
000000248/000001040 L30_T18SUH_20191109T154038
000000268/000001040 L30_T18SUH_20200611T154603
000000288/000001040 L30_T18SUH_20210114T154026
000000308/000001040 L30_T18SUH_20210716T154622
000000328/000001040 L30_T18SUH_20211223T154645
000000348/000001040 L30_T18SUH_20220414T154617
000000368/000001040 L30_T18SUH_20220711T154616
000000388/000001040 L30_T18SUH_20220930T154054
000000408/000001040 L30_T18SUH_20230112T154041
000000428/000001040 L30_T18SUH_20230426T153946
000000448/000001040 L30_T18SUH_20230807T154618
000000468/000001040 L30_T18SUH_20231104T154028
000000488/000001040 L30_T18SUH_20240208T154022
000000508/000001040 L30_T18SUH_20240709T153938
000000528/000001040 L30_T18SUJ_20130601T154155
000000548/000001040 L30_T18SUJ_20131201T154740
000000568/000001040 L30_T18SUJ_20140706T153941
000000588/000001040 L30_T18SUJ_20150130T153949
000000608/000001040 L30_T18SUJ_20150725T153928
000000628/000001040 L30_T18SUJ_20160202T153954
000000648/000001040 L30_T18SUJ_20160812T153954
000000668/000001040 L30_T18SUJ_20170204T153952
000000688/000001040 L30_T18SUJ_20170806T154627
000000708/000001040 L30_T18SUJ_20180214T154551
000000728/000001040 L30_T18SUJ_20180825T154533
000000748/000001040 L30_T18SUJ_20190406T154534
000000768/000001040 L30_T18SUJ_20190929T154624
000000788/000001040 L30_T18SUJ_20200519T153918
000000808/000001040 L30_T18SUJ_20201127T154012
000000828/000001040 L30_T18SUJ_20210623T153944
000000848/000001040 L30_T18SUJ_20211207T154624
000000868/000001040 L30_T18SUJ_20220322T153943
000000888/000001040 L30_T18SUJ_20220626T154006
000000908/000001040 L30_T18SUJ_20220921T154642
000000928/000001040 L30_T18SUJ_20230103T154654
000000948/000001040 L30_T18SUJ_20230417T154535
000000968/000001040 L30_T18SUJ_20230723T153927
000000988/000001040 L30_T18SUJ_20231026T154615
000001008/000001040 L30_T18SUJ_20240131T154033
000001028/000001040 L30_T18SUJ_20240717T153924
Google Earth Engine API initialized successfully.
