cn508
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000011/000001040 L30_T18SUH_20130726T154825
000000031/000001040 L30_T18SUH_20140307T154701
000000051/000001040 L30_T18SUH_20140915T154635
000000071/000001040 L30_T18SUH_20150404T153938
000000091/000001040 L30_T18SUH_20150911T154010
000000111/000001040 L30_T18SUH_20160413T154602
000000131/000001040 L30_T18SUH_20161006T154643
000000151/000001040 L30_T18SUH_20170324T153953
000000171/000001040 L30_T18SUH_20171002T154030
000000191/000001040 L30_T18SUH_20180419T154542
000000211/000001040 L30_T18SUH_20181028T154621
000000231/000001040 L30_T18SUH_20190524T154606
000000251/000001040 L30_T18SUH_20191202T154646
000000271/000001040 L30_T18SUH_20200706T154005
000000291/000001040 L30_T18SUH_20210206T154633
000000311/000001040 L30_T18SUH_20210817T154636
000000331/000001040 L30_T18SUH_20220117T154028
000000351/000001040 L30_T18SUH_20220423T154004
000000371/000001040 L30_T18SUH_20220720T154010
000000391/000001040 L30_T18SUH_20221015T154653
000000411/000001040 L30_T18SUH_20230204T154656
000000431/000001040 L30_T18SUH_20230511T154605
000000451/000001040 L30_T18SUH_20230816T154012
000000471/000001040 L30_T18SUH_20231119T154641
000000491/000001040 L30_T18SUH_20240303T154026
000000511/000001040 L30_T18SUH_20240725T153940
000000531/000001040 L30_T18SUJ_20130624T154759
000000551/000001040 L30_T18SUJ_20140118T154711
000000571/000001040 L30_T18SUJ_20140729T154559
000000591/000001040 L30_T18SUJ_20150310T154541
000000611/000001040 L30_T18SUJ_20150817T154546
000000631/000001040 L30_T18SUJ_20160321T153938
000000651/000001040 L30_T18SUJ_20160904T154615
000000671/000001040 L30_T18SUJ_20170227T154555
000000691/000001040 L30_T18SUJ_20170907T154609
000000711/000001040 L30_T18SUJ_20180318T154535
000000731/000001040 L30_T18SUJ_20180926T154545
000000751/000001040 L30_T18SUJ_20190501T153941
000000771/000001040 L30_T18SUJ_20191109T154014
000000791/000001040 L30_T18SUJ_20200611T154539
000000811/000001040 L30_T18SUJ_20210114T154003
000000831/000001040 L30_T18SUJ_20210716T154558
000000851/000001040 L30_T18SUJ_20211223T154621
000000871/000001040 L30_T18SUJ_20220414T154553
000000891/000001040 L30_T18SUJ_20220711T154552
000000911/000001040 L30_T18SUJ_20220930T154030
000000931/000001040 L30_T18SUJ_20230112T154017
000000951/000001040 L30_T18SUJ_20230426T153922
000000971/000001040 L30_T18SUJ_20230807T154554
000000991/000001040 L30_T18SUJ_20231104T154004
000001011/000001040 L30_T18SUJ_20240215T154606
000001031/000001040 L30_T18SUJ_20240802T153928
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000011/000000597 S30_T18SUH_20160302T155402
000000031/000000597 S30_T18SUH_20160918T154922
000000051/000000597 S30_T18SUH_20170317T154951
000000071/000000597 S30_T18SUH_20170822T161209
000000091/000000597 S30_T18SUH_20171207T155629
000000111/000000597 S30_T18SUH_20190307T155111
000000131/000000597 S30_T18SUH_20200801T155911
000000151/000000597 S30_T18SUH_20230604T154941
000000171/000000597 S30_T18SUH_20230823T154821
000000191/000000597 S30_T18SUH_20231027T155249
000000211/000000597 S30_T18SUH_20240105T155639
000000231/000000597 S30_T18SUH_20240318T155859
000000251/000000597 S30_T18SUH_20240603T154819
000000271/000000597 S30_T18SUH_20240726T155819
000000291/000000597 S30_T18SUH_20240921T154849
000000311/000000597 S30_T18SUJ_20160620T160132
000000331/000000597 S30_T18SUJ_20161117T160132
000000351/000000597 S30_T18SUJ_20170608T161221
000000371/000000597 S30_T18SUJ_20170921T155929
000000391/000000597 S30_T18SUJ_20171217T155639
000000411/000000597 S30_T18SUJ_20190529T155911
000000431/000000597 S30_T18SUJ_20200410T154901
000000451/000000597 S30_T18SUJ_20230604T154941
000000471/000000597 S30_T18SUJ_20230813T154941
000000491/000000597 S30_T18SUJ_20231022T155311
000000511/000000597 S30_T18SUJ_20231219T160659
000000531/000000597 S30_T18SUJ_20240305T155029
000000551/000000597 S30_T18SUJ_20240524T154809
000000571/000000597 S30_T18SUJ_20240718T154931
000000591/000000597 S30_T18SUJ_20240911T154809
Google Earth Engine API initialized successfully.
